"Rank","Player","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","David Johnson","ARI","RB1","8","1","3","1.2","0.4","1.0","0.0"
"2","Le'Veon Bell","PIT","RB2","9","1","3","1.8","0.4","2.0","0.0"
"3","Antonio Brown","PIT","WR1","9","2","7","3.6","0.8","3.0","0.0"
"5","LeSean McCoy","BUF","RB3","6","2","15","5.8","2.6","6.0","+1.0"
"6","Julio Jones","ATL","WR3","5","3","14","5.8","2.2","4.0","-2.0"
"7","Melvin Gordon","LAC","RB4","9","3","19","8.2","3.2","9.0","+2.0"
"8","A.J. Green","CIN","WR4","6","4","16","9.3","2.4","11.0","+3.0"
"9","Mike Evans","TB","WR5","11","3","19","9.4","2.7","7.0","-2.0"
"10","Devonta Freeman","ATL","RB5","5","3","27","9.9","3.4","8.0","-2.0"
"11","Jordy Nelson","GB","WR6","8","5","21","11.4","2.9","13.0","+2.0"
"12","Jay Ajayi","MIA","RB6","11","3","27","12.8","4.1","15.0","+3.0"
"13","Jordan Howard","CHI","RB7","9","6","24","13.0","3.7","14.0","+1.0"
"14","DeMarco Murray","TEN","RB8","8","6","30","13.7","3.8","12.0","-2.0"
"15","Michael Thomas","NO","WR7","5","8","22","14.8","2.9","16.0","+1.0"
"16","Dez Bryant","DAL","WR8","6","10","37","18.2","4.0","18.0","+2.0"
"17","T.Y. Hilton","IND","WR9","11","9","29","18.7","4.1","22.0","+5.0"
"18","Todd Gurley","LAR","RB9","8","10","46","18.9","5.0","20.0","+2.0"
"19","Leonard Fournette","JAC","RB10","8","11","61","20.2","7.7","19.0","0.0"
"20","Amari Cooper","OAK","WR10","10","12","38","22.6","4.7","24.0","+4.0"
"21","Doug Baldwin","SEA","WR11","6","15","53","23.5","6.3","27.0","+6.0"
"22","Rob Gronkowski","NE","TE1","9","10","64","24.9","8.5","21.0","-1.0"
"23","Ezekiel Elliott","DAL","RB11","6","3","62","25.4","11.1","10.0","-13.0"
"24","Lamar Miller","HOU","RB12","7","11","53","25.7","8.1","26.0","+2.0"
"25","Isaiah Crowell","CLE","RB13","9","8","50","26.3","7.3","30.0","+5.0"
"26","DeAndre Hopkins","HOU","WR12","7","17","44","28.6","6.4","29.0","+3.0"
"27","Brandin Cooks","NE","WR13","9","17","55","29.4","8.5","28.0","+1.0"
"28","Demaryius Thomas","DEN","WR14","5","18","63","31.6","8.0","33.0","+5.0"
"30","Marshawn Lynch","OAK","RB14","10","16","116","34.1","16.8","25.0","-5.0"
"31","Carlos Hyde","SF","RB15","11","15","65","34.3","10.1","37.0","+6.0"
"33","Alshon Jeffery","PHI","WR16","10","20","64","36.3","8.4","38.0","+5.0"
"34","Terrelle Pryor","WAS","WR17","5","18","86","36.5","10.4","34.0","0.0"
"35","Tom Brady","NE","QB2","9","8","73","37.8","8.1","23.0","-12.0"
"36","Travis Kelce","KC","TE2","10","21","64","38.5","8.2","35.0","-1.0"
"37","Davante Adams","GB","WR18","8","19","74","39.9","10.5","46.0","+9.0"
"38","Joe Mixon","CIN","RB16","6","14","137","40.8","17.7","36.0","-2.0"
"39","Drew Brees","NO","QB3","5","19","71","41.8","7.0","32.0","-7.0"
"40","Keenan Allen","LAC","WR19","9","19","80","42.1","11.3","42.0","+2.0"
"41","Ty Montgomery","GB","RB17","8","14","152","44.0","17.9","44.0","+3.0"
"42","Michael Crabtree","OAK","WR20","10","28","90","44.1","10.1","51.0","+9.0"
"44","Christian McCaffrey","CAR","RB19","11","24","112","47.1","18.2","31.0","-13.0"
"45","Kareem Hunt","KC","RB20","10","23","88","49.1","15.5","41.0","-4.0"
"46","Sammy Watkins","LAR","WR21","8","22","96","49.9","13.9","45.0","-1.0"
"47","Mark Ingram","NO","RB21","5","23","92","51.0","13.7","53.0","+6.0"
"48","C.J. Anderson","DEN","RB22","5","26","113","51.6","15.2","50.0","+2.0"
"49","Golden Tate","DET","WR22","7","30","95","52.7","13.2","59.0","+10.0"
"50","Greg Olsen","CAR","TE3","11","34","83","53.9","8.4","47.0","-3.0"
"51","Larry Fitzgerald","ARI","WR23","8","26","101","55.5","12.8","69.0","+18.0"
"52","Mike Gillislee","NE","RB23","9","17","110","56.2","16.7","61.0","+9.0"
"53","Tyreek Hill","KC","WR24","10","21","140","56.7","17.5","49.0","-4.0"
"54","Emmanuel Sanders","DEN","WR25","5","32","123","56.9","15.2","62.0","+8.0"
"55","Jordan Reed","WAS","TE4","5","33","110","57.6","15.0","52.0","-3.0"
"56","Martavis Bryant","PIT","WR26","9","25","118","57.9","16.8","57.0","+1.0"
"57","Jarvis Landry","MIA","WR27","11","37","107","59.8","14.0","48.0","-9.0"
"58","Russell Wilson","SEA","QB4","6","24","112","61.3","14.1","58.0","0.0"
"59","Bilal Powell","NYJ","RB24","11","27","115","62.2","18.1","68.0","+9.0"
"60","Matt Ryan","ATL","QB5","5","34","104","62.7","14.2","39.0","-21.0"
"61","Ameer Abdullah","DET","RB25","7","33","120","63.8","14.0","72.0","+11.0"
"62","Julian Edelman","NE","WR28","9","27","123","64.8","14.6","54.0","-8.0"
"63","Frank Gore","IND","RB26","11","22","137","64.9","17.7","75.0","+12.0"
"64","Tevin Coleman","ATL","RB27","5","29","98","64.9","15.8","60.0","-4.0"
"65","Jimmy Graham","SEA","TE5","6","43","124","67.4","12.4","55.0","-10.0"
"66","Jamison Crowder","WAS","WR29","5","39","94","67.9","14.1","86.0","+20.0"
"67","Kelvin Benjamin","CAR","WR30","11","38","110","68.2","16.2","56.0","-11.0"
"68","Andrew Luck","IND","QB6","11","28","125","69.9","18.8","63.0","-5.0"
