"Player","Team","SACK","INT","FR","FF","TD","ASSIST","SAFETY","PA","YDS_AGN","FPTS"
"Minnesota Vikings ","","3.3","1.6","0.7","0.9","0.3","0.0","0.0","14.2","272.9","11.0"
"","high","3.7","2.4","0.9","0.9","0.4","0.0","0.1","18.1","307.7","14.5"
"","low","2.8","1.2","0.5","0.9","0.3","0.0","0.0","9.5","238.0","12.0"
"Philadelphia Eagles ","","3.2","1.3","0.8","1.4","0.3","0.0","0.0","16.0","293.5","9.9"
"","high","3.9","1.7","1.0","1.4","0.3","0.0","0.1","17.0","299.0","13.7"
"","low","2.5","0.9","0.6","1.3","0.2","0.0","0.0","14.3","288.0","8.6"
"Baltimore Ravens ","","2.4","1.2","0.8","1.3","0.2","0.0","0.0","15.6","286.6","8.8"
"","high","3.2","1.6","0.9","1.6","0.3","0.0","0.1","17.3","298.2","13.0"
"","low","1.7","0.9","0.6","1.0","0.2","0.0","0.0","14.4","275.0","7.7"
"Pittsburgh Steelers ","","3.0","0.9","0.7","1.2","0.2","0.0","0.0","18.0","275.7","8.8"
"","high","3.6","1.2","0.8","1.4","0.4","0.0","0.0","21.0","298.4","12.5"
"","low","2.6","0.7","0.6","1.0","0.2","0.0","0.0","15.8","253.0","7.1"
"Kansas City Chiefs ","","2.5","1.1","0.8","1.5","0.3","0.0","0.0","17.3","325.9","8.8"
"","high","2.9","1.4","1.1","1.6","0.4","0.0","0.1","18.8","336.8","10.2"
"","low","2.3","0.8","0.6","1.3","0.2","0.0","0.0","14.6","315.0","7.4"
"Cincinnati Bengals ","","3.0","1.0","0.7","1.2","0.2","0.0","0.1","16.6","300.9","8.7"
"","high","3.3","1.2","1.0","1.6","0.2","0.0","0.1","17.7","309.7","11.1"
"","low","2.9","0.8","0.5","0.7","0.2","0.0","0.1","15.5","292.0","6.9"
"Miami Dolphins ","","2.3","1.0","0.7","1.3","0.2","0.0","0.0","18.4","310.6","8.1"
"","high","2.9","1.3","0.9","1.4","0.3","0.0","0.0","20.3","325.2","11.0"
