"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Le'Veon Bell","PIT ","21.5","89.8","0.7","4.9","36.5","0.1","0.2","17.3"
"","high","23.0","98.0","0.8","5.7","42.0","0.2","0.1","22.4"
"","low","20.2","84.7","0.6","4.2","32.6","0.1","0.2","16.9"
"Ezekiel Elliott","DAL ","20.4","91.8","0.7","3.1","28.4","0.1","0.2","16.8"
"","high","22.2","98.0","0.8","3.3","31.8","0.2","0.1","19.2"
"","low","18.3","84.1","0.6","2.7","26.0","0.1","0.2","16.8"
"LeSean McCoy","BUF ","17.9","79.7","0.6","4.6","37.4","0.1","0.3","15.6"
"","high","18.5","84.7","0.7","5.0","42.8","0.2","0.2","20.7"
"","low","17.5","76.0","0.4","4.2","32.4","0.1","0.3","15.2"
"Kareem Hunt","KC ","17.6","75.2","0.7","3.4","30.2","0.2","0.3","15.2"
"","high","18.6","85.0","0.8","4.2","35.9","0.3","0.2","17.7"
"","low","15.9","65.2","0.5","2.7","24.9","0.1","0.3","13.6"
"Devonta Freeman","ATL ","15.7","70.9","0.7","2.6","22.7","0.1","0.1","13.7"
"","high","16.0","81.0","0.7","3.2","28.1","0.1","0.1","16.2"
"","low","15.5","60.8","0.6","2.4","19.2","0.1","0.1","13.1"
"Mark Ingram","NO ","17.0","72.3","0.5","3.8","28.0","0.1","0.2","13.6"
"","high","17.7","77.4","0.7","4.8","36.8","0.2","0.1","18.7"
"","low","16.3","66.6","0.4","3.3","24.9","0.1","0.2","12.8"
"Melvin Gordon","LAC ","16.1","63.5","0.5","3.9","31.8","0.2","0.2","13.4"
"","high","17.7","74.3","0.6","4.6","39.2","0.3","0.1","16.1"
"","low","14.7","54.8","0.4","3.6","28.7","0.2","0.2","12.7"
"Jordan Howard","CHI ","18.9","87.1","0.6","1.7","11.9","0.1","0.1","13.4"
"","high","21.3","97.7","0.6","2.1","12.7","0.1","0.1","14.4"
"","low","17.3","78.0","0.5","1.4","10.5","0.0","0.1","12.9"
"Jay Ajayi","MIA ","19.8","78.4","0.4","1.8","10.9","0.0","0.2","11.1"
"","high","21.0","87.9","0.5","2.0","12.0","0.1","0.2","14.3"
"","low","18.0","71.6","0.3","1.6","9.8","0.0","0.2","10.0"
"Joe Mixon","CIN ","13.7","55.0","0.4","2.5","20.9","0.1","0.1","10.6"
"","high","14.7","58.9","0.6","3.1","25.7","0.1","0.1","13.1"
"","low","13.0","51.0","0.3","2.0","18.1","0.1","0.1","9.6"
"Doug Martin","TB ","16.1","61.0","0.4","1.9","15.3","0.1","0.2","10.6"
"","high","17.1","69.6","0.6","2.7","21.6","0.1","0.1","12.1"
"","low","13.4","50.2","0.3","1.6","11.0","0.1","0.2","10.5"
"Carlos Hyde","SF ","14.0","57.4","0.4","3.3","21.8","0.1","0.1","10.3"
"","high","16.2","63.8","0.4","4.3","29.7","0.1","0.1","12.1"
"","low","10.7","45.4","0.3","2.2","12.6","0.0","0.1","9.8"
"Lamar Miller","HOU ","15.1","60.9","0.2","2.7","21.4","0.1","0.1","10.1"
"","high","16.6","66.0","0.3","3.5","28.7","0.1","0.1","12.8"
"","low","12.6","54.0","0.2","2.3","17.2","0.1","0.1","9.9"
"LeGarrette Blount","PHI ","13.1","56.6","0.5","1.1","8.9","0.0","0.1","9.6"
"","high","14.1","60.0","0.5","2.1","19.4","0.1","0.1","10.4"
