"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Rob Gronkowski","NE ","4.8","70.1","0.6","0.0","10.6"
"","high","5.0","72.2","0.6","0.0","14.9"
"","low","4.5","67.0","0.6","0.0","10.6"
"Zach Ertz","PHI ","5.4","64.7","0.5","0.1","9.5"
"","high","5.9","71.4","0.6","0.1","14.9"
"","low","4.7","59.0","0.5","0.1","9.0"
"Travis Kelce","KC ","4.9","57.8","0.3","0.1","7.6"
"","high","5.4","65.1","0.4","0.1","13.4"
"","low","4.6","48.1","0.3","0.1","6.6"
"Jordan Reed","WAS ","4.6","48.8","0.4","0.1","7.3"
"","high","5.2","53.8","0.5","0.0","12.7"
"","low","4.1","42.6","0.4","0.1","6.8"
"Austin Seferian-Jenkins","NYJ ","4.1","40.9","0.4","0.1","6.5"
"","high","4.3","44.4","0.5","0.0","10.6"
"","low","4.0","36.8","0.4","0.1","6.1"
"Jimmy Graham","SEA ","3.9","44.4","0.3","0.1","6.3"
"","high","4.2","49.0","0.4","0.0","11.1"
"","low","3.8","40.1","0.3","0.1","5.6"
"Hunter Henry","LAC ","3.3","41.4","0.4","0.0","6.3"
"","high","3.7","44.0","0.4","0.0","9.5"
"","low","3.0","39.7","0.3","0.0","5.9"
"Cameron Brate","TB ","3.5","39.1","0.3","0.0","6.0"
"","high","4.0","44.0","0.4","0.0","9.6"
"","low","3.1","36.1","0.3","0.0","5.4"
"Tyler Kroft","CIN ","3.4","36.0","0.4","0.0","6.0"
"","high","3.8","45.2","0.5","0.0","8.6"
"","low","3.0","29.3","0.3","0.0","5.4"
"Kyle Rudolph","MIN ","4.0","40.0","0.3","0.0","5.9"
"","high","4.2","48.3","0.4","0.0","8.9"
"","low","3.6","34.0","0.2","0.0","4.8"
"Jason Witten","DAL ","4.3","43.2","0.3","0.1","5.8"
"","high","4.6","47.4","0.3","0.0","9.8"
"","low","4.1","40.9","0.2","0.2","5.7"
"Jared Cook","OAK ","3.7","41.3","0.2","0.1","5.5"
"","high","3.8","43.5","0.3","0.0","9.0"
"","low","3.4","40.0","0.2","0.1","5.1"
"Ed Dickson","CAR ","3.0","41.8","0.2","0.0","5.5"
"","high","3.0","50.0","0.3","0.0","8.1"
"","low","2.9","38.0","0.2","0.0","4.9"
"Zach Miller","CHI ","3.1","35.2","0.3","0.0","5.3"
"","high","3.7","40.6","0.3","0.0","9.5"
"","low","2.2","28.7","0.3","0.0","4.7"
"Austin Hooper","ATL ","3.1","36.6","0.3","0.0","5.3"
"","high","3.3","42.0","0.3","0.0","7.9"
"","low","3.0","33.0","0.2","0.0","5.0"
"Jack Doyle","IND ","4.2","40.6","0.2","0.1","4.9"
"","high","4.8","45.0","0.2","0.0","7.5"
"","low","3.5","31.5","0.1","0.1","5.2"
