"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Antonio Brown","PIT ","0.1","0.3","0.0","7.2","97.8","0.5","0.1","12.6"
"","high","0.1","0.8","0.0","7.8","105.0","0.7","0.1","19.3"
"","low","0.0","0.0","0.0","6.9","92.0","0.4","0.1","12.4"
"A.J. Green","CIN ","0.0","0.0","0.0","6.1","89.8","0.6","0.1","12.4"
"","high","0.0","0.0","0.0","6.6","95.8","0.8","0.1","18.5"
"","low","0.0","0.0","0.0","5.6","80.0","0.5","0.1","11.8"
"Julio Jones","ATL ","0.0","0.0","0.0","6.2","91.0","0.5","0.1","11.9"
"","high","0.0","0.0","0.0","6.6","98.9","0.7","0.0","16.2"
"","low","0.0","0.0","0.0","5.8","81.2","0.4","0.1","12.2"
"Mike Evans","TB ","0.0","0.0","0.0","5.5","73.5","0.5","0.1","10.5"
"","high","0.0","0.0","0.0","5.7","81.4","0.8","0.0","15.4"
"","low","0.0","0.0","0.0","5.4","70.1","0.4","0.1","9.4"
"Dez Bryant","DAL ","0.0","0.0","0.0","5.1","68.9","0.5","0.0","9.8"
"","high","0.0","0.0","0.0","5.7","80.4","0.6","0.0","15.2"
"","low","0.0","0.0","0.0","4.6","62.0","0.4","0.0","9.2"
"Michael Thomas","NO ","0.0","0.0","0.0","5.4","68.4","0.5","0.1","9.6"
"","high","0.0","0.0","0.0","5.8","77.0","0.6","0.0","15.2"
"","low","0.0","0.0","0.0","5.2","57.4","0.3","0.1","7.5"
"DeAndre Hopkins","HOU ","0.0","0.0","0.0","5.8","71.0","0.4","0.1","9.4"
"","high","0.0","0.0","0.0","6.1","93.4","0.5","0.0","15.0"
"","low","0.0","0.0","0.0","5.7","59.4","0.3","0.1","7.7"
"Doug Baldwin","SEA ","0.1","0.6","0.0","5.6","65.8","0.4","0.0","9.1"
"","high","0.3","1.6","0.0","6.5","75.6","0.5","0.0","14.6"
"","low","0.0","0.0","0.0","4.9","59.2","0.4","0.0","8.3"
"Alshon Jeffery","PHI ","0.0","0.0","0.0","4.4","63.8","0.5","0.0","9.1"
"","high","0.0","0.0","0.0","4.8","68.9","0.6","0.0","12.5"
"","low","0.0","0.0","0.0","4.0","59.0","0.3","0.0","8.4"
"Chris Hogan","NE ","0.3","1.3","0.0","4.0","58.3","0.5","0.0","9.0"
"","high","0.3","1.8","0.0","4.2","68.0","0.5","0.0","13.2"
"","low","0.2","1.0","0.0","3.7","52.4","0.5","0.0","8.2"
"Brandin Cooks","NE ","0.3","1.9","0.0","4.1","61.6","0.4","0.0","9.0"
"","high","0.6","3.5","0.0","4.3","65.3","0.6","0.0","11.7"
"","low","0.1","1.0","0.0","4.0","55.7","0.3","0.0","8.6"
"Keenan Allen","LAC ","0.0","0.0","0.0","5.5","68.8","0.4","0.1","8.8"
"","high","0.0","0.0","0.0","6.4","74.4","0.5","0.1","16.2"
"","low","0.0","0.0","0.0","5.0","63.0","0.2","0.1","7.7"
"Kelvin Benjamin","CAR ","0.0","0.0","0.0","4.3","64.2","0.4","0.0","8.7"
"","high","0.0","0.0","0.0","4.5","68.6","0.6","0.0","12.3"
"","low","0.0","0.0","0.0","4.0","58.0","0.2","0.0","8.0"
"Michael Crabtree","OAK ","0.0","0.0","0.0","4.9","60.0","0.4","0.0","8.6"
"","high","0.0","0.0","0.0","5.2","71.3","0.5","0.0","12.2"
"","low","0.0","0.0","0.0","4.7","52.8","0.4","0.0","8.3"
"Stefon Diggs","MIN ","0.3","1.6","0.0","4.6","62.0","0.4","0.0","8.5"
"","high","0.6","3.3","0.0","5.2","73.8","0.5","0.0","13.5"
"","low","0.0","0.0","0.0","4.0","56.0","0.3","0.0","7.5"
"Demaryius Thomas","DEN ","0.0","0.0","0.0","5.3","68.4","0.3","0.1","8.4"
"","high","0.0","0.0","0.0","5.8","71.8","0.4","0.0","14.6"
"","low","0.0","0.0","0.0","4.8","64.7","0.2","0.2","7.7"
"Amari Cooper","OAK ","0.0","0.0","0.0","4.9","62.8","0.4","0.0","8.4"
"","high","0.0","0.0","0.0","5.7","69.2","0.4","0.0","11.2"
"","low","0.0","-0.1","0.0","4.3","54.3","0.3","0.0","8.0"
"Tyreek Hill","KC ","0.7","4.6","0.0","4.7","55.7","0.4","0.0","8.2"
"","high","1.2","7.3","0.0","5.3","63.6","0.4","0.0","13.3"
"","low","0.2","0.6","0.0","4.2","47.6","0.3","0.0","6.6"
"Devin Funchess","CAR ","0.0","0.0","0.0","4.2","58.8","0.4","0.0","8.0"
"","high","0.0","0.0","0.0","4.9","73.5","0.4","0.0","11.9"
"","low","0.0","0.0","0.0","3.8","49.6","0.3","0.0","7.4"
"Marvin Jones","DET ","0.0","0.0","0.0","4.1","55.8","0.4","0.0","8.0"
"","high","0.0","0.0","0.0","4.4","67.2","0.5","0.0","11.8"
"","low","0.0","0.0","0.0","3.8","46.2","0.3","0.0","6.4"
"Jarvis Landry","MIA ","0.2","0.9","0.0","6.3","62.9","0.3","0.1","7.9"
"","high","0.3","1.5","0.0","7.3","72.6","0.3","0.1","12.8"
"","low","0.1","0.3","0.0","5.8","55.6","0.2","0.1","7.8"
"T.Y. Hilton","IND ","0.0","0.0","0.0","4.6","64.3","0.3","0.1","7.9"
"","high","0.0","0.0","0.0","4.8","67.1","0.4","0.0","11.9"
"","low","0.0","-0.1","0.0","4.5","62.0","0.2","0.1","7.4"
"Pierre Garcon","SF ","0.0","0.0","0.0","5.2","62.6","0.3","0.0","7.8"
"","high","0.0","0.0","0.0","5.8","67.7","0.4","0.0","13.7"
"","low","0.0","0.0","0.0","4.5","54.2","0.2","0.0","6.6"
"Adam Thielen","MIN ","0.0","0.1","0.0","5.0","60.7","0.3","0.1","7.6"
"","high","0.1","0.3","0.0","5.6","68.9","0.4","0.0","12.2"
"","low","0.0","0.0","0.0","4.5","56.9","0.2","0.2","6.9"
"DeSean Jackson","TB ","0.0","0.0","0.0","3.7","56.1","0.3","0.0","7.3"
"","high","0.0","0.0","0.0","3.8","61.6","0.4","0.0","11.5"
"","low","0.0","0.0","0.0","3.3","50.2","0.2","0.0","6.2"
"Nelson Agholor","PHI ","0.1","0.9","0.0","3.3","46.4","0.4","0.0","7.1"
"","high","0.3","2.0","0.0","3.8","49.8","0.5","0.0","8.3"
"","low","0.0","0.0","0.0","2.8","37.4","0.3","0.0","7.2"
"Jermaine Kearse","NYJ ","0.0","0.0","0.0","3.6","45.6","0.3","0.0","6.4"
"","high","0.0","0.0","0.0","3.7","48.5","0.4","0.0","10.1"
"","low","0.0","0.0","0.0","3.5","39.5","0.3","0.0","5.8"
"Jeremy Maclin","BAL ","0.0","0.0","0.0","4.0","47.5","0.3","0.0","6.3"
"","high","0.0","0.0","0.0","4.4","54.7","0.3","0.0","10.3"
"","low","0.0","0.0","0.0","3.8","40.4","0.2","0.0","5.2"
"Will Fuller","HOU ","0.3","1.9","0.0","3.1","42.1","0.3","0.0","6.2"
"","high","0.8","5.3","0.0","3.4","46.6","0.3","0.0","10.2"
"","low","0.0","0.0","0.0","2.9","38.5","0.3","0.0","5.7"
"Mohamed Sanu","ATL ","0.1","0.8","0.0","3.8","44.3","0.3","0.0","6.1"
"","high","0.3","1.6","0.0","4.1","47.0","0.3","0.0","10.3"
"","low","0.0","0.0","0.0","3.5","43.0","0.2","0.0","5.6"
"Robby Anderson","NYJ ","0.1","0.5","0.0","3.1","45.5","0.3","0.0","6.4"
"","high","0.2","1.4","0.0","3.4","50.0","0.5","0.0","9.8"
"","low","0.0","0.0","0.0","2.6","40.2","0.2","0.0","5.6"
"Danny Amendola","NE ","0.0","0.0","0.0","3.8","43.3","0.3","0.1","6.3"
"","high","0.0","0.0","0.0","4.2","48.7","0.5","0.0","8.8"
"","low","0.0","0.0","0.0","3.2","35.0","0.3","0.1","6.0"
"Terrelle Pryor","WAS ","0.0","0.3","0.0","3.2","43.7","0.3","0.0","6.0"
"","high","0.1","0.9","0.0","3.8","53.0","0.4","0.0","10.5"
"","low","0.0","0.0","0.0","2.1","29.2","0.2","0.0","3.9"
"Devante Parker","MIA ","0.0","0.0","0.0","3.3","41.9","0.2","0.0","5.5"
"","high","0.0","0.0","0.0","4.0","53.0","0.3","0.0","10.6"
"","low","0.0","0.0","0.0","2.6","29.3","0.1","0.0","3.4"
"Tyrell Williams","LAC ","0.0","0.0","0.0","3.2","44.3","0.2","0.1","5.5"
"","high","0.0","0.0","0.0","3.5","50.3","0.3","0.0","10.2"
"","low","0.0","0.0","0.0","2.8","39.5","0.1","0.2","4.7"
"Kenny Golladay","DET ","0.0","0.0","0.0","3.0","37.6","0.3","0.0","5.4"
"","high","0.0","0.0","0.0","3.7","42.1","0.4","0.0","10.2"
"","low","0.0","0.0","0.0","2.0","30.0","0.2","0.0","4.0"
"Ted Ginn","NO ","0.7","3.9","0.0","2.9","40.6","0.3","0.1","5.9"
"","high","1.0","6.1","0.0","3.4","47.0","0.3","0.0","8.0"
"","low","0.1","0.7","0.0","2.3","34.6","0.2","0.1","5.2"
"Paul Richardson","SEA ","0.0","0.0","0.0","2.8","39.3","0.3","0.0","5.7"
"","high","0.0","0.0","0.0","3.2","42.8","0.4","0.0","8.7"
"","low","0.0","0.0","0.0","2.5","34.3","0.2","0.0","4.9"
"Donte Moncrief","IND ","0.1","0.5","0.0","3.3","40.6","0.2","0.0","5.5"
"","high","0.2","1.5","0.0","3.6","48.0","0.3","0.0","8.2"
"","low","0.0","0.0","0.0","2.8","35.8","0.2","0.0","4.8"
"Tyler Lockett","SEA ","0.2","1.3","0.0","3.1","39.8","0.2","0.0","5.4"
"","high","0.3","1.6","0.0","3.3","45.0","0.3","0.0","8.7"
"","low","0.1","1.0","0.0","2.8","36.6","0.1","0.0","4.3"
"JuJu Smith-Schuster","PIT ","0.0","0.0","0.0","2.8","37.8","0.3","0.0","5.4"
"","high","0.0","0.0","0.0","3.1","40.5","0.4","0.0","8.6"
"","low","0.0","0.0","0.0","2.2","33.1","0.2","0.0","4.5"
"Jordan Matthews","BUF ","0.0","0.0","0.0","2.8","37.6","0.2","0.0","5.2"
"","high","0.0","0.0","0.0","3.5","46.4","0.3","0.0","9.6"
"","low","0.0","0.0","0.0","2.5","33.0","0.2","0.0","4.6"
